"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"0",28,"0","0","0","0","0","0","0","1",2,16,1,140300,"1","BTM","OP MINAS","NV FROTA",2,7,"DAF","FACCHINI",0,48979.32,34465.6,223.89,1.08305555555556,19.7855555555556,2,1
"0",28,"0","0","0","0","0","0","0","1",1,23,0,130284,"1","MAR","CROSS","NV FROTA",2,7,"DAF","FACCHINI",0,120971.3,30963.6,46.65,0.910555555555556,21.2266666666667,4,1
"1",28,"0","0","0","0","0","0","0","1",1,12,0,176332,"1","MGA","CROSS","NV FROTA",2,7,"DAF","FACCHINI",0,44575.81,34465.6,74.03,1.76527777777778,20.5697222222222,1,3
"1",28,"0","0","0","0","0","0","0","1",1,11,0,353912,"1","MGA","CROSS","NV FROTA",4,2,"DAF","FACCHINI",0,88949.53,30075.02,319.25,1.74972222222222,20.4794444444444,0,7
"1",28,"0","0","0","0","0","0","0","1",1,13,1,152776,"1","BTM","OP MINAS","NV FROTA",1,6,"DAF","FACCHINI",0,44575.81,34465.6,74.03,1.22805555555556,17.1063888888889,2,3
"0",28,"0","0","0","0","0","0","0","1",1,25,0,131435,"1","BTM","OP MINAS","NV FROTA",2,6,"DAF","FACCHINI",0,55069.93,31458.42,46.65,0.9175,16.0522222222222,3,1
"1",28,"0","0","0","0","0","0","0","1",1,18,0,127940,"1","BTM","OP MINAS","NV FROTA",2,6,"DAF","FACCHINI",0,70011.52,31435.18,223.89,1.01222222222222,21.3222222222222,3,1
"1",28,"0","0","0","0","0","0","0","1",1,12,0,176332,"1","MGA","CROSS","NV FROTA",2,7,"DAF","FACCHINI",0,28561,5577,223.48,0.732222222222222,5.3725,1,1
"1",28,"0","0","0","0","0","0","0","1",1,25,0,131435,"1","BTM","OP MINAS","NV FROTA",2,6,"DAF","FACCHINI",0,26670,10783.6,223.48,0.108055555555556,3.82583333333333,3,1
"1",28,"0","0","0","0","0","0","0","1",2,13,1,456745,"1","CPG","SPOT","NV FROTA",5,7,"MERCEDES-BENZ","FACCHINI",0,80639.74,30241.14,267.9,0.124166666666667,19.3166666666667,1,2
